Site_ID,Name,Region,GDP/GMP Compliance
SITE00468,Core Development Campus,Southeast Asia,Conditionally Approved
SITE00469,Principal Development Campus,Oceania,GMP Certified
SITE00470,Strategic Distribution Hub,North Africa,GMP/GDP Compliant
SITE00471,Regional Packaging Hub,South America,GDP Compliant
SITE00472,Flagship Testing Hub,Southern Europe,Dual Certified
SITE00473,Central Testing Laboratory,Southern Europe,GDP Compliant
SITE00474,Core Production Location,Southern Europe,GDP Compliant
SITE00475,Primary Packaging Hub,South America,Conditionally Approved
SITE00476,Primary Manufacturing Complex,Sub-Saharan Africa,GMP Certified
SITE00477,Principal Research Complex,Oceania,GMP Pending
SITE00478,Central Distribution Campus,Middle East,Under Review
SITE00479,Primary Development Plant,Eastern Europe,Certified with Exceptions
SITE00480,Key Production Site,North America,Conditionally Approved
SITE00481,Regional Testing Hub,South Asia,Under Review
SITE00482,Strategic Processing Complex,Central Asia,GMP/GDP Compliant
SITE00483,Key Research Facility,East Asia,GMP/GDP Compliant
SITE00484,Main Processing Laboratory,South Asia,GMP Certified
SITE00485,Flagship Packaging Center,Western Europe,Certified with Exceptions
SITE00486,Strategic Production Plant,Sub-Saharan Africa,GDP Compliant
SITE00487,Principal Distribution Center,Eastern Europe,GMP/GDP Compliant
SITE00488,Regional Production Laboratory,Eastern Europe,GDP Compliant
SITE00489,Flagship Production Laboratory,Southern Europe,Fully Certified
SITE00490,Principal Testing Center,North America,Conditionally Approved
SITE00491,Advanced Clinical Facility,Sub-Saharan Africa,GMP/GDP Compliant
SITE00492,Advanced Production Plant,Central Asia,GDP Compliant
SITE00493,Key Clinical Center,Central America,Under Review
SITE00494,Principal Processing Unit,Southern Europe,GMP Certified
SITE00495,Core Packaging Unit,South America,GMP Pending
SITE00496,Key Processing Site,Central America,Certified with Exceptions
SITE00497,Central Storage Facility,Eastern Europe,Certified with Exceptions
SITE00498,Key Production Site,Eastern Europe,Dual Certified
SITE00499,Strategic Processing Plant,Northern Europe,GDP Compliant
SITE00500,Key Production Center,South America,GMP Pending
SITE00501,Central Packaging Center,Southeast Asia,GMP/GDP Compliant
SITE00502,Principal Production Complex,Central Asia,Under Review
SITE00503,Principal Testing Laboratory,Sub-Saharan Africa,GDP Pending
SITE00504,Advanced Processing Site,Southeast Asia,GDP Compliant
SITE00505,Central Production Site,Southeast Asia,GMP Pending
SITE00506,Flagship Testing Location,Southeast Asia,Conditionally Approved
SITE00507,Flagship Production Campus,Central Asia,GDP Compliant
SITE00508,Central Development Unit,Middle East,Under Review
SITE00509,Flagship Packaging Center,Central America,GMP/GDP Compliant
SITE00510,Flagship Storage Campus,Sub-Saharan Africa,GMP Certified
SITE00511,Primary Clinical Site,Central Asia,GMP Certified
SITE00512,Central Development Campus,East Asia,Dual Certified
SITE00513,Flagship Testing Unit,South America,Certified with Exceptions
SITE00514,Core Manufacturing Site,East Asia,Fully Certified
SITE00515,Strategic Storage Laboratory,Western Europe,GMP Certified
SITE00516,Main Testing Complex,South America,GMP Certified
SITE00517,Key Processing Hub,South America,Under Review
SITE00518,Core Production Campus,Central America,GDP Compliant
SITE00519,Main Production Campus,Sub-Saharan Africa,Fully Certified
SITE00520,Flagship Packaging Campus,Eastern Europe,Under Review
SITE00521,Core Processing Location,South America,GDP Pending
SITE00522,Core Clinical Hub,South America,GDP Pending
SITE00523,Main Development Complex,North America,Certified with Exceptions
SITE00524,Strategic Distribution Campus,North Africa,GDP Pending
SITE00525,Advanced Distribution Facility,North America,Conditionally Approved
SITE00526,Regional Processing Plant,Central America,Under Review
SITE00527,Primary Clinical Laboratory,Western Europe,Fully Certified
SITE00528,Main Production Location,Central America,Under Review
SITE00529,Flagship Research Campus,East Asia,Conditionally Approved
SITE00530,Primary Storage Plant,Sub-Saharan Africa,Conditionally Approved
SITE00531,Main Distribution Hub,Central America,Certified with Exceptions
SITE00532,Principal Production Hub,Central America,GDP Pending
SITE00533,Regional Storage Campus,Central America,GMP Certified
SITE00534,Principal Clinical Unit,Central Asia,Conditionally Approved
SITE00535,Central Manufacturing Plant,Central Asia,GDP Pending
SITE00536,Key Production Laboratory,East Asia,GMP Pending
SITE00537,Flagship Testing Location,Southern Europe,GDP Compliant
SITE00538,Key Packaging Complex,North America,Fully Certified
SITE00539,Primary Development Campus,Caribbean,Conditionally Approved
SITE00540,Core Storage Campus,North America,GMP Pending
SITE00541,Regional Testing Hub,Northern Europe,Fully Certified
SITE00542,Core Manufacturing Unit,Central Asia,Certified with Exceptions
SITE00543,Strategic Storage Campus,South Asia,GMP Pending
SITE00544,Primary Processing Campus,Northern Europe,Conditionally Approved
SITE00545,Core Processing Laboratory,Sub-Saharan Africa,GMP Pending
SITE00546,Core Storage Complex,South Asia,Dual Certified
SITE00547,Core Development Center,North America,Dual Certified
SITE00548,Principal Production Hub,Central America,Conditionally Approved
SITE00549,Regional Testing Complex,North America,Dual Certified
SITE00550,Core Development Location,Eastern Europe,Under Review
SITE00551,Primary Processing Hub,Northern Europe,Fully Certified
SITE00552,Principal Manufacturing Facility,Central America,GMP Pending
SITE00553,Key Storage Center,Middle East,GMP/GDP Compliant
SITE00554,Principal Storage Unit,Sub-Saharan Africa,Certified with Exceptions
SITE00555,Advanced Research Laboratory,Eastern Europe,Dual Certified
SITE00556,Advanced Storage Hub,Western Europe,GDP Compliant
SITE00557,Principal Storage Complex,Western Europe,Conditionally Approved
SITE00558,Main Testing Campus,North Africa,Dual Certified
SITE00559,Primary Distribution Facility,Caribbean,Dual Certified
SITE00560,Flagship Packaging Center,Central America,GMP Certified
SITE00561,Advanced Production Hub,Southern Europe,GMP Certified
SITE00562,Principal Testing Unit,North America,GDP Pending
SITE00563,Regional Storage Facility,South Asia,Under Review
SITE00564,Flagship Research Campus,Southern Europe,Conditionally Approved
SITE00565,Flagship Testing Complex,Southeast Asia,GMP/GDP Compliant
SITE00566,Main Distribution Complex,Southeast Asia,GMP Certified
SITE00567,Regional Development Plant,Southern Europe,Conditionally Approved
SITE00568,Main Production Facility,South Asia,GDP Compliant
SITE00569,Primary Clinical Laboratory,East Asia,GDP Compliant
SITE00570,Strategic Packaging Facility,Southern Europe,GMP Pending
SITE00571,Regional Testing Plant,Caribbean,Dual Certified
SITE00572,Principal Storage Campus,North Africa,GDP Compliant
SITE00573,Main Distribution Unit,North America,Conditionally Approved
SITE00574,Regional Processing Campus,Eastern Europe,GDP Pending
SITE00575,Primary Processing Location,Central Asia,GMP/GDP Compliant
SITE00576,Main Storage Location,Sub-Saharan Africa,GDP Pending
SITE00577,Strategic Packaging Location,Southern Europe,GMP Certified
SITE00578,Strategic Clinical Unit,Western Europe,Fully Certified
SITE00579,Central Development Campus,North America,Fully Certified
SITE00580,Core Production Laboratory,South America,Conditionally Approved
SITE00581,Strategic Packaging Hub,Oceania,Certified with Exceptions
SITE00582,Main Processing Unit,North Africa,Fully Certified
SITE00583,Key Clinical Unit,Eastern Europe,Certified with Exceptions
SITE00584,Primary Development Hub,North America,Under Review
SITE00585,Key Processing Center,Southern Europe,Dual Certified
SITE00586,Primary Research Unit,Southeast Asia,Conditionally Approved
SITE00587,Primary Development Unit,North America,Conditionally Approved
SITE00588,Main Production Campus,Central America,GDP Pending
SITE00589,Central Clinical Center,Middle East,GDP Pending
SITE00590,Core Testing Complex,Southeast Asia,Fully Certified
SITE00591,Principal Manufacturing Site,Oceania,GDP Compliant
SITE00592,Advanced Storage Unit,North America,GDP Pending
SITE00593,Primary Storage Unit,Middle East,GDP Compliant
SITE00594,Regional Distribution Campus,Southeast Asia,GMP Certified
SITE00595,Advanced Packaging Center,Central America,Conditionally Approved
SITE00596,Central Clinical Site,Southeast Asia,Certified with Exceptions
SITE00597,Advanced Production Hub,Northern Europe,GMP Certified
SITE00598,Strategic Research Laboratory,Caribbean,GDP Compliant
SITE00599,Central Testing Unit,Central America,Under Review
SITE00600,Core Clinical Plant,Sub-Saharan Africa,Certified with Exceptions
SITE00601,Strategic Production Complex,Eastern Europe,Fully Certified
SITE00602,Principal Packaging Plant,Northern Europe,Dual Certified
SITE00603,Principal Clinical Hub,Caribbean,GDP Pending
SITE00604,Principal Manufacturing Campus,Caribbean,Under Review
SITE00605,Advanced Clinical Center,Oceania,Conditionally Approved
SITE00606,Core Development Site,Western Europe,Dual Certified
SITE00607,Advanced Testing Plant,Central America,Conditionally Approved
SITE00608,Flagship Clinical Site,Western Europe,GDP Compliant
SITE00609,Principal Manufacturing Laboratory,Sub-Saharan Africa,GMP/GDP Compliant
SITE00610,Regional Processing Facility,Central America,GMP/GDP Compliant
SITE00611,Flagship Storage Facility,Southeast Asia,GMP Pending
SITE00612,Primary Clinical Plant,North America,Under Review
SITE00613,Primary Processing Site,South Asia,GMP/GDP Compliant
SITE00614,Main Processing Unit,East Asia,GMP Certified
SITE00615,Primary Packaging Unit,Caribbean,Fully Certified
SITE00616,Central Distribution Site,Western Europe,GMP Pending
SITE00617,Strategic Manufacturing Unit,Western Europe,GDP Pending
SITE00618,Regional Research Hub,East Asia,GMP/GDP Compliant
SITE00619,Key Research Hub,Western Europe,Dual Certified
SITE00620,Central Production Hub,Caribbean,Certified with Exceptions
SITE00621,Key Testing Center,Central Asia,Conditionally Approved
SITE00622,Regional Manufacturing Unit,South Asia,GMP Certified
SITE00623,Regional Research Complex,Northern Europe,Fully Certified
SITE00624,Strategic Packaging Campus,Southeast Asia,GDP Pending
SITE00625,Core Development Campus,North America,Dual Certified
SITE00626,Advanced Packaging Location,Oceania,Certified with Exceptions
SITE00627,Regional Packaging Center,Southeast Asia,GDP Pending
SITE00628,Core Packaging Plant,Southern Europe,GMP Certified
SITE00629,Primary Research Complex,Western Europe,Conditionally Approved
SITE00630,Key Research Hub,Western Europe,Certified with Exceptions
SITE00631,Key Processing Hub,Oceania,Under Review
SITE00632,Strategic Clinical Site,Northern Europe,Fully Certified
SITE00633,Flagship Processing Plant,Middle East,GMP Certified
SITE00634,Strategic Manufacturing Unit,Western Europe,Fully Certified
SITE00635,Flagship Manufacturing Complex,Eastern Europe,GMP Pending
SITE00636,Main Distribution Plant,Central Asia,Certified with Exceptions
SITE00637,Flagship Processing Plant,Oceania,GMP Certified
SITE00638,Main Production Plant,East Asia,Dual Certified
SITE00639,Central Packaging Center,Western Europe,GMP/GDP Compliant
SITE00640,Advanced Storage Unit,North Africa,GMP/GDP Compliant
SITE00641,Core Storage Laboratory,Western Europe,GDP Compliant
SITE00642,Core Development Site,North America,GMP Pending
SITE00643,Regional Distribution Complex,Northern Europe,GDP Pending
SITE00644,Regional Manufacturing Facility,East Asia,GMP Pending
SITE00645,Flagship Storage Complex,North America,Certified with Exceptions
SITE00646,Flagship Distribution Location,Oceania,Certified with Exceptions
SITE00647,Flagship Production Location,Middle East,GMP Certified
SITE00648,Strategic Research Hub,Middle East,GMP Certified
SITE00649,Central Distribution Center,Central Asia,GMP Certified
SITE00650,Regional Packaging Location,Middle East,GDP Pending
SITE00651,Flagship Development Hub,Western Europe,Under Review
SITE00652,Core Manufacturing Location,Eastern Europe,Dual Certified
SITE00653,Core Research Hub,North America,GMP Pending
SITE00654,Regional Clinical Facility,Western Europe,Fully Certified
SITE00655,Core Manufacturing Plant,Middle East,Certified with Exceptions
SITE00656,Key Manufacturing Hub,South America,Under Review
SITE00657,Regional Processing Location,Western Europe,GMP/GDP Compliant
SITE00658,Principal Development Laboratory,Central Asia,Dual Certified
SITE00659,Core Development Complex,Sub-Saharan Africa,Conditionally Approved
SITE00660,Key Distribution Center,East Asia,Certified with Exceptions
SITE00661,Central Development Unit,Northern Europe,GDP Compliant
SITE00662,Key Distribution Location,Southeast Asia,GMP/GDP Compliant
SITE00663,Advanced Processing Site,Western Europe,GMP Pending
SITE00664,Key Clinical Complex,Sub-Saharan Africa,GMP Certified
SITE00665,Principal Packaging Hub,Central Asia,Conditionally Approved
SITE00666,Flagship Manufacturing Site,Eastern Europe,Fully Certified
SITE00667,Advanced Clinical Unit,Middle East,Dual Certified
SITE00668,Core Packaging Laboratory,North America,GMP Pending
SITE00669,Core Packaging Center,South America,GMP Certified
SITE00670,Advanced Packaging Hub,North America,GMP Certified
SITE00671,Primary Testing Location,North Africa,Dual Certified
SITE00672,Key Packaging Campus,East Asia,Dual Certified
SITE00673,Strategic Production Complex,Northern Europe,GDP Compliant
SITE00674,Strategic Clinical Complex,Eastern Europe,GMP/GDP Compliant
SITE00675,Flagship Manufacturing Laboratory,Southeast Asia,GMP Pending
SITE00676,Principal Research Site,Central Asia,Certified with Exceptions
SITE00677,Central Packaging Campus,Western Europe,Fully Certified
SITE00678,Main Packaging Plant,Southeast Asia,GDP Pending
SITE00679,Central Distribution Complex,Southern Europe,Certified with Exceptions
SITE00680,Advanced Testing Location,Eastern Europe,Fully Certified
SITE00681,Principal Processing Plant,North Africa,GMP/GDP Compliant
SITE00682,Central Packaging Facility,Northern Europe,GDP Compliant
SITE00683,Main Production Location,Central America,Fully Certified
SITE00684,Central Storage Complex,Central America,Fully Certified
SITE00685,Principal Packaging Facility,Oceania,Dual Certified
SITE00686,Strategic Manufacturing Location,North Africa,Under Review
SITE00687,Main Testing Unit,Middle East,GMP/GDP Compliant
SITE00688,Advanced Development Campus,Eastern Europe,GMP Pending
SITE00689,Principal Manufacturing Hub,Southern Europe,Conditionally Approved
SITE00690,Strategic Storage Plant,Southeast Asia,Dual Certified
SITE00691,Principal Production Facility,North Africa,Fully Certified
SITE00692,Flagship Distribution Complex,South Asia,Under Review
SITE00693,Main Packaging Complex,Sub-Saharan Africa,GMP Certified
SITE00694,Central Production Facility,Southeast Asia,GDP Pending
SITE00695,Central Manufacturing Site,Central Asia,GDP Compliant
SITE00696,Advanced Development Center,Southern Europe,Fully Certified
SITE00697,Flagship Development Location,South Asia,GDP Pending
SITE00698,Flagship Testing Complex,Sub-Saharan Africa,Certified with Exceptions
SITE00699,Core Testing Hub,Southern Europe,Conditionally Approved
SITE00700,Key Development Complex,South America,GMP Pending
SITE00701,Strategic Distribution Plant,Central Asia,Dual Certified
SITE00702,Primary Production Plant,Middle East,Conditionally Approved
SITE00703,Central Clinical Complex,Oceania,GDP Pending
SITE00704,Regional Testing Plant,Caribbean,GMP/GDP Compliant
SITE00705,Advanced Distribution Site,Sub-Saharan Africa,Dual Certified
SITE00706,Flagship Distribution Plant,Central America,Certified with Exceptions
SITE00707,Key Research Unit,Oceania,GDP Pending
SITE00708,Advanced Clinical Laboratory,Northern Europe,Fully Certified
SITE00709,Flagship Clinical Campus,Southern Europe,Dual Certified
SITE00710,Strategic Processing Plant,South America,GDP Compliant
SITE00711,Regional Research Center,North America,Under Review
SITE00712,Advanced Packaging Location,Eastern Europe,GMP Pending
SITE00713,Flagship Research Facility,Northern Europe,Dual Certified
SITE00714,Central Clinical Complex,Western Europe,Dual Certified
SITE00715,Key Storage Facility,Southern Europe,Fully Certified
SITE00716,Key Development Facility,North America,GMP/GDP Compliant
SITE00717,Main Production Laboratory,East Asia,GMP Certified
SITE00718,Main Research Site,Western Europe,Dual Certified
SITE00719,Principal Testing Facility,Middle East,Dual Certified
SITE00720,Flagship Development Location,Northern Europe,Dual Certified
SITE00721,Central Storage Location,Eastern Europe,GMP Certified
SITE00722,Flagship Storage Facility,Sub-Saharan Africa,GDP Pending
SITE00723,Key Packaging Hub,North Africa,Under Review
SITE00724,Core Research Unit,Central Asia,Fully Certified
SITE00725,Flagship Storage Location,North America,Conditionally Approved
SITE00726,Advanced Distribution Complex,North Africa,Dual Certified
SITE00727,Principal Testing Facility,Eastern Europe,Conditionally Approved
SITE00728,Flagship Clinical Complex,Central America,Under Review
SITE00729,Central Manufacturing Unit,Central Asia,Dual Certified
SITE00730,Main Storage Site,South Asia,GMP/GDP Compliant
SITE00731,Strategic Storage Center,Southern Europe,GDP Compliant
SITE00732,Advanced Packaging Campus,Caribbean,Fully Certified
SITE00733,Advanced Production Site,Middle East,GMP Certified
SITE00734,Central Clinical Site,Caribbean,GDP Pending
SITE00735,Key Clinical Campus,Central America,GDP Pending
SITE00736,Central Manufacturing Laboratory,Oceania,Under Review
SITE00737,Advanced Testing Complex,Western Europe,Dual Certified
SITE00738,Advanced Development Complex,Central Asia,Under Review
SITE00739,Core Development Unit,Central Asia,Certified with Exceptions
SITE00740,Flagship Storage Campus,Central America,Fully Certified
SITE00741,Advanced Testing Location,Middle East,GDP Pending
SITE00742,Key Research Site,Middle East,GDP Pending
SITE00743,Principal Development Laboratory,Middle East,Fully Certified
SITE00744,Core Packaging Unit,Northern Europe,Certified with Exceptions
SITE00745,Flagship Development Center,Western Europe,GDP Compliant
SITE00746,Key Development Complex,Caribbean,GDP Compliant
SITE00747,Regional Clinical Center,East Asia,Under Review
SITE00748,Key Testing Unit,South Asia,Under Review
SITE00749,Core Packaging Location,Sub-Saharan Africa,GMP/GDP Compliant
SITE00750,Key Packaging Center,Western Europe,GMP Certified
SITE00751,Principal Clinical Facility,North America,GDP Pending
SITE00752,Strategic Development Hub,Caribbean,Certified with Exceptions
SITE00753,Core Packaging Complex,South Asia,GDP Pending
SITE00754,Principal Testing Unit,Western Europe,GMP/GDP Compliant
SITE00755,Key Testing Center,Western Europe,GDP Compliant
SITE00756,Core Packaging Center,Eastern Europe,GDP Compliant
SITE00757,Central Clinical Site,Southern Europe,GMP Pending
SITE00758,Regional Clinical Plant,Northern Europe,Dual Certified
SITE00759,Flagship Clinical Hub,Southeast Asia,Conditionally Approved
SITE00760,Regional Clinical Location,South America,Under Review
SITE00761,Principal Storage Center,Oceania,Under Review
SITE00762,Main Development Unit,Central America,GDP Compliant
SITE00763,Core Clinical Complex,Oceania,GMP Certified
SITE00764,Core Research Laboratory,Oceania,GMP Pending
SITE00765,Main Research Hub,South America,GMP Certified
SITE00766,Principal Clinical Unit,Sub-Saharan Africa,Conditionally Approved
SITE00767,Core Production Plant,Eastern Europe,GMP Pending
SITE00768,Primary Production Plant,Middle East,GMP Certified
SITE00769,Strategic Manufacturing Center,North Africa,Conditionally Approved
SITE00770,Central Testing Laboratory,North America,Under Review
SITE00771,Flagship Research Center,Caribbean,Conditionally Approved
SITE00772,Advanced Distribution Facility,Oceania,Fully Certified
SITE00773,Core Packaging Location,South Asia,GMP/GDP Compliant
SITE00774,Primary Production Center,Middle East,Dual Certified
SITE00775,Strategic Packaging Site,South America,Certified with Exceptions
SITE00776,Flagship Distribution Site,Southeast Asia,GMP/GDP Compliant
SITE00777,Central Distribution Unit,Northern Europe,Dual Certified
SITE00778,Main Distribution Center,Western Europe,GDP Pending
SITE00779,Core Development Campus,Southeast Asia,GMP Pending
SITE00780,Advanced Manufacturing Complex,Sub-Saharan Africa,GMP Certified
SITE00781,Regional Storage Site,Sub-Saharan Africa,GMP/GDP Compliant
SITE00782,Regional Development Unit,South Asia,Under Review
SITE00783,Core Research Location,Northern Europe,GMP Pending
SITE00784,Regional Storage Center,Oceania,GMP Pending
SITE00785,Main Distribution Unit,East Asia,Conditionally Approved
SITE00786,Strategic Development Unit,Eastern Europe,Under Review
SITE00787,Central Storage Hub,North America,Under Review
SITE00788,Regional Development Plant,Oceania,GDP Pending
SITE00789,Main Packaging Plant,Southeast Asia,GDP Compliant
SITE00790,Main Clinical Plant,Middle East,GMP Pending
SITE00791,Strategic Packaging Complex,North Africa,Under Review
SITE00792,Core Packaging Hub,South America,Certified with Exceptions
SITE00793,Advanced Testing Hub,Southern Europe,GMP Certified
SITE00794,Key Distribution Site,Sub-Saharan Africa,Under Review
SITE00795,Advanced Research Location,Sub-Saharan Africa,Fully Certified
SITE00796,Central Research Facility,Northern Europe,Conditionally Approved
SITE00797,Central Research Complex,Oceania,GMP Certified
SITE00798,Flagship Manufacturing Site,Oceania,GMP Pending
SITE00799,Key Storage Location,Oceania,Under Review
SITE00800,Regional Distribution Laboratory,South Asia,GMP Pending
SITE00801,Key Production Center,Caribbean,GMP Pending
SITE00802,Regional Research Campus,South Asia,GDP Pending
SITE00803,Principal Development Location,Northern Europe,Conditionally Approved
SITE00804,Advanced Manufacturing Location,North America,Dual Certified
SITE00805,Primary Processing Center,North America,Fully Certified
SITE00806,Advanced Packaging Location,East Asia,GDP Pending
SITE00807,Key Packaging Campus,North Africa,Fully Certified
SITE00808,Central Production Campus,Northern Europe,Dual Certified
SITE00809,Advanced Testing Site,South America,GMP Pending
SITE00810,Main Storage Laboratory,Middle East,GMP Pending
SITE00811,Core Packaging Plant,North America,GMP Certified
SITE00812,Flagship Storage Location,Caribbean,Under Review
SITE00813,Key Packaging Site,Southern Europe,Fully Certified
SITE00814,Strategic Processing Hub,Eastern Europe,Fully Certified
SITE00815,Core Research Unit,Eastern Europe,Dual Certified
SITE00816,Main Packaging Hub,Southern Europe,Dual Certified
SITE00817,Core Development Center,South America,Dual Certified
SITE00818,Advanced Development Laboratory,Central America,Fully Certified
SITE00819,Flagship Development Campus,South America,Fully Certified
SITE00820,Primary Development Laboratory,Central Asia,GMP Pending
SITE00821,Advanced Storage Unit,Middle East,Fully Certified
SITE00822,Main Production Center,Eastern Europe,Conditionally Approved
SITE00823,Main Clinical Site,Southern Europe,GDP Pending
SITE00824,Strategic Distribution Plant,Central America,Fully Certified
SITE00825,Advanced Production Unit,North America,GDP Compliant
SITE00826,Strategic Processing Complex,Caribbean,GDP Pending
SITE00827,Key Clinical Unit,North Africa,GMP/GDP Compliant
SITE00828,Strategic Storage Center,Caribbean,Dual Certified
SITE00829,Core Production Laboratory,Caribbean,Under Review
SITE00830,Key Processing Plant,Northern Europe,Dual Certified
SITE00831,Regional Processing Facility,East Asia,Fully Certified
SITE00832,Strategic Distribution Hub,South America,Under Review
SITE00833,Core Clinical Location,North America,GMP Certified
SITE00834,Central Testing Plant,Southern Europe,GMP/GDP Compliant
SITE00835,Flagship Storage Facility,Central America,GMP/GDP Compliant
SITE00836,Core Storage Plant,Central America,GDP Pending
SITE00837,Advanced Processing Hub,Southeast Asia,GMP Pending
SITE00838,Core Processing Unit,Southern Europe,GDP Compliant
SITE00839,Regional Processing Site,South America,GDP Compliant
SITE00840,Regional Clinical Unit,Middle East,GDP Compliant
SITE00841,Advanced Packaging Center,Eastern Europe,Under Review
SITE00842,Strategic Testing Hub,Caribbean,GDP Compliant
SITE00843,Flagship Research Location,Eastern Europe,GMP Certified
SITE00844,Primary Storage Complex,East Asia,GDP Compliant
SITE00845,Strategic Storage Center,Caribbean,Dual Certified
SITE00846,Principal Packaging Facility,North Africa,GDP Pending
SITE00847,Primary Development Location,Northern Europe,GDP Compliant
SITE00848,Main Research Complex,Central Asia,Under Review
SITE00849,Regional Production Unit,Central Asia,Under Review
SITE00850,Advanced Clinical Campus,North Africa,Dual Certified
SITE00851,Central Research Plant,North America,GDP Pending
SITE00852,Principal Production Unit,North Africa,Dual Certified
SITE00853,Key Production Laboratory,Northern Europe,GDP Compliant
SITE00854,Principal Clinical Plant,East Asia,Dual Certified
SITE00855,Key Development Location,Caribbean,Fully Certified
SITE00856,Advanced Testing Center,North America,GDP Pending
SITE00857,Central Development Facility,Southeast Asia,GDP Pending
SITE00858,Primary Storage Site,Western Europe,Fully Certified
SITE00859,Regional Packaging Unit,Oceania,Certified with Exceptions
SITE00860,Advanced Processing Complex,Central Asia,Fully Certified
SITE00861,Principal Development Laboratory,North America,Fully Certified
SITE00862,Key Storage Facility,North Africa,GMP Certified
SITE00863,Core Processing Unit,Western Europe,GMP Pending
SITE00864,Principal Storage Laboratory,Southeast Asia,GMP Pending
SITE00865,Core Distribution Campus,Western Europe,Conditionally Approved
SITE00866,Key Packaging Unit,North Africa,Dual Certified
SITE00867,Key Research Laboratory,Caribbean,Under Review
SITE00868,Regional Storage Laboratory,Sub-Saharan Africa,GMP/GDP Compliant
SITE00869,Central Packaging Unit,Sub-Saharan Africa,Conditionally Approved
SITE00870,Regional Manufacturing Facility,Southern Europe,GMP Certified
SITE00871,Advanced Clinical Hub,Southern Europe,GDP Compliant
SITE00872,Regional Production Site,Caribbean,GDP Pending
SITE00873,Core Distribution Campus,Northern Europe,Conditionally Approved
SITE00874,Primary Development Location,Western Europe,GDP Compliant
SITE00875,Strategic Production Facility,Southern Europe,GDP Pending
SITE00876,Key Manufacturing Plant,North America,Dual Certified
SITE00877,Principal Development Hub,Southern Europe,GDP Pending
SITE00878,Principal Packaging Unit,Central America,GMP Certified
SITE00879,Advanced Distribution Site,Northern Europe,GMP Pending
SITE00880,Principal Testing Laboratory,Sub-Saharan Africa,GMP Pending
SITE00881,Advanced Processing Complex,Southeast Asia,Fully Certified
SITE00882,Advanced Distribution Complex,Northern Europe,GMP/GDP Compliant
SITE00883,Central Production Facility,Central Asia,Dual Certified
SITE00884,Flagship Production Unit,Caribbean,GDP Pending
SITE00885,Regional Testing Location,Middle East,Fully Certified
SITE00886,Flagship Production Campus,Southern Europe,Certified with Exceptions
SITE00887,Main Manufacturing Unit,Eastern Europe,GMP Certified
SITE00888,Advanced Testing Site,Central America,GDP Pending
SITE00889,Principal Production Center,North Africa,GDP Compliant
SITE00890,Core Manufacturing Campus,Central Asia,GDP Pending
SITE00891,Principal Storage Unit,South Asia,GMP Pending
SITE00892,Central Packaging Plant,South America,Conditionally Approved
SITE00893,Key Packaging Campus,Middle East,GDP Compliant
SITE00894,Main Development Location,East Asia,Under Review
SITE00895,Strategic Packaging Center,Western Europe,GMP Certified
SITE00896,Main Manufacturing Site,Central America,Conditionally Approved
SITE00897,Flagship Development Site,South America,GMP Certified
SITE00898,Principal Research Hub,Middle East,GMP Pending
SITE00899,Central Testing Laboratory,Oceania,GMP Certified
SITE00900,Key Manufacturing Site,South America,Under Review
SITE00901,Primary Distribution Complex,Eastern Europe,GMP Pending
SITE00902,Regional Development Site,Sub-Saharan Africa,GDP Compliant
SITE00903,Flagship Production Complex,Sub-Saharan Africa,Certified with Exceptions
SITE00904,Core Distribution Campus,Eastern Europe,GMP Pending
SITE00905,Primary Manufacturing Facility,Caribbean,GMP/GDP Compliant
SITE00906,Main Distribution Campus,Southern Europe,Dual Certified
SITE00907,Core Storage Center,Sub-Saharan Africa,Certified with Exceptions
SITE00908,Key Manufacturing Center,North Africa,GMP Certified
SITE00909,Central Research Plant,Western Europe,Under Review
SITE00910,Flagship Testing Center,North America,Conditionally Approved
SITE00911,Principal Research Plant,North America,GDP Pending
SITE00912,Primary Distribution Facility,Middle East,Dual Certified
SITE00913,Central Testing Laboratory,Central America,GDP Pending
SITE00914,Strategic Clinical Unit,Central America,GMP/GDP Compliant
SITE00915,Advanced Packaging Unit,North America,Under Review
SITE00916,Main Storage Site,Northern Europe,Fully Certified
SITE00917,Primary Packaging Campus,Central Asia,Certified with Exceptions
SITE00918,Flagship Manufacturing Unit,Southeast Asia,GMP Pending
SITE00919,Central Processing Hub,Central America,GMP Pending
SITE00920,Regional Storage Hub,Central Asia,Certified with Exceptions
SITE00921,Main Production Location,Western Europe,Conditionally Approved
SITE00922,Strategic Research Campus,North Africa,GMP Pending
SITE00923,Principal Processing Site,Southeast Asia,GMP Pending
SITE00924,Principal Production Location,Northern Europe,GDP Pending
SITE00925,Primary Storage Plant,Northern Europe,Under Review
SITE00926,Key Clinical Complex,North America,Conditionally Approved
SITE00927,Central Distribution Campus,Sub-Saharan Africa,GDP Compliant
SITE00928,Central Processing Hub,North America,GMP Pending
SITE00929,Core Manufacturing Complex,Eastern Europe,GMP/GDP Compliant
SITE00930,Flagship Storage Complex,Middle East,GMP Pending
SITE00931,Regional Testing Facility,Western Europe,GDP Pending
SITE00932,Regional Packaging Complex,Oceania,GDP Compliant
SITE00933,Strategic Testing Site,Middle East,Under Review
SITE00934,Advanced Storage Location,Southeast Asia,GDP Pending
SITE00935,Core Manufacturing Plant,Southern Europe,GMP Certified
SITE00936,Regional Clinical Facility,South America,GMP Pending
SITE00937,Regional Testing Location,Southeast Asia,GMP/GDP Compliant
